ABA,Abano Healthcare Group Limited Ordinary Shares
AIA,Auckland International Airport Limited Ordinary Shares
AIR,Air New Zealand Limited (NZ) Ordinary Shares
ALF,Allied Farmers Limited Ordinary Shares
AOR,Aorere Resources Limited Ordinary Shares
ARG,Argosy Property Limited Ordinary Shares
ARV,Arvida Group Limited (NZ) Ordinary Shares
ATM,The a2 Milk Company  Limited Ordinary Shares
AUG,Augusta Capital Limited Ordinary Shares
AWF,AWF Group Limited Ordinary Shares
AWK,Airwork Holdings Limited Ordinary Shares
BGR,Briscoe Group Limited Ordinary Shares
BLT,BLIS Technologies Limired Ordinary Shares
BRL,Bathurst Resources Limited Ordinary Shares
CAV,Cavalier Corporation Limited Ordinary Shares
CDI,CDL Investments New Zealand Limited Ordinary Shares
CEN,Contact Energy Limited Ordinary Shares
CMO,The Colonial Motor Company Limited Ordinary Shares
CNU,Chorus Limited (NS) Ordinary Shares
CVT,Comvita Limited Ordinary Shares
DGL,Delegat Group Limited Ordinary Shares
DIL,Diligent Board Membee Services INC Ordinary Shares
DNZ,DNZ Property Fund Limited Ordinary Shares
EBO,Ebos Group Limited Ordinary Shares
ERD,EROAD Limited Ordinary Shares
EVO,Evolve Education Group Limited Ordinary Shares
FBU,Fletcher Building Limited Ordinary Shares
FIN,Finzsoft Solutions Limited Ordinary Shares
FLI,Fliway Group Limited Ordinary Shares
FPH,Fisher & Paykel Healthcare Corporation Limited Ord Shares
FRE,Freightways Limited Ordinary Shares
FSF,Fonterra Shareholder's Fund Units
GMT,Goodman Property Trust Ordinary Units
GNE,Genesis Energy Limited Ordinary Shares
GTK,Gentrack Group Limited Ordinary Shares
GXH,Green Cross Health Limited Ordinary Shares
HBY,Hellaby Holdings Limited Ordinary Shares
HED,Horizon Energy Distribution Limited Ordinary Shares
HLG,Hallenstein Glasson Holdings Limited Ordinary Shares
HNZ,Heartland New Zealand Limited Ordinary Shares
IFT,Infratil Limited Ordinary Shares
IKE,ikeGPS Group Limited (NS) Ordinary Shares
IQE,Intueri Education Group Limited Ordinary Shares
KMD,Kathmandu Holdings Limited Ordinary Shares
KPG,Kiwi Property Group Limited Ordinary Shares
KRK,Kirkcaldie & Stains Limited Ordinary Shares
MAD,Energy Mad Limited Ordinary Shares
MCK,Millennium & Copthorne Hotels NZ Limited Ordinary Shares
MEL,Meridian Energy Limited (NS) Ordinary Shares
MET,Metlifecare Limited Ordinary Shares
MFT,Mainfreight Limited Ordinary Shares
MGL,Mercer Group Limited Ordinary Shares
MHI,Michael Hill International Limited Ordinary Shares
MMH,Marsden Maritime Holdings Limited (NS) Ordinary Shares
MOA,Moa Group Limited Ordinary Shares
MOW,Mowbray Collectables Limited Ordinary Shares
MPG,Metro Performance Glass Limited Ordinary Shares
MRP,Mighty River Power Limited Ordinary Shares
MVN,Methven Limited Ordinary Shares
NPT,NPT Limited Ordinary Shares
NPX,Nuplex Industries Limited Ordinary Shares
NTL,New Talisman Gold Mines Limited Ordinary Shares
NWF,NZ Windfarms Limited Ordinary Shares
NZF,NZF Group Limited (Administrators Appointed) Ordinary Shares
NZO,New Zealand Oil & Gas Limited Ordinary Shares
NZR,The New Zealand Refining Company Limited Ordinary Shares
NZX,NZX Limited Ordinary Shares
OHE,Orion Health Group Limited Ordinary Shares
OIC,Opus International Consultants Limited Ordinary Shares
PCT,Precinct Properties New Zealand Limited Ordinary Shares
PEB,Pacific Edge Limited Ordinary Shares
PFI,Property For Industry Limited Ordinary Shares
PGC,Pyne Gould Corporation Limited
PGW,PGG Wrightson Limited Ordinary Shares
PIL,Promisia Integrative Limited Ordinary Shares
POT,Port of Tauranga Limited (NS) Ordinary Shares
PPL,Pumpkin Patch Limited Ordinary Shares
RAK,Rakon Limited Ordinary Shares
RBC,Rubicon Limited Ordinary Shares
RBD,Restaurant Brands NZ Limited Ordinary Shares
RYM,Ryman Healthcare Limited Ordinary Shares
SAN,Sanford Limited Ordinary Shares
SCL,Scales Corporation Limited Ordinary Shares
SCT,Scott Technology Limited Ordinary Shares
SCY,Smiths City Group Limited Ordinary Shares
SEA,SeaDragon Limited Ordinary Shares
SEK,Seeka Kiwifruit Industries Limited Ordinary Shares
SKC,SKYCITY Entertainment Group Limited (NS) Ordinary Shares
SKL,Skellerup Holdings Limited Ordinary Shares
SKO,Serko Limited Ordinary Shares
SKT,Sky Network Television Limited Ordinary Shares
SLG,Sealegs Corporation Limited Ordinary Shares
SLI,SLI Systems Limited Ordinary Shares
SML,Synlait Milk Limited (NS) Ordinary Shares
SPK,Spark New Zealand Limited Ordinary Shares
SPN,South Port New Zealand Limited (NS) Ordinary Shares
SPY,Smartpay Holdings Limited Ordinary Shares
STU,Steel & Tube Holdings Limited Ordinary Shares
SUM,Summerset Group Holdings Limited Ordinary Shares
TEN,Tenon Limited Ordinary Shares
TGG,T&G Global Limited Ordinary Shares
THL,Tourism Holdings Limited Ordinary Shares
TIL,Trilogy International Limited Ordinary Shares
TME,Trade Me Group Limited Ordinary Shares
TNR,Turners Limited Ordinary Shares
TPW,Trustpower Limited Ordinary Shares
TRS,TRS Investments Limited
TTK,TeamTalk Limited Ordinary Shares
TWR,Tower Limited Ordinary Shares
VCT,Vector Limited Ordinary Shares
VGL,Vista Group International Limited Ordinary Shares
VHP,Vital Healthcare Property Trust Ordinary Units
VIL,Veritas Investments Limited - Ordinary Shares
WDT,Wellington Drive Technologies Limited Ordinary Shares
WHS,The Warehouse Group Limited Ordinary Shares
WYN,Wynyard Group Limited Ordinary Shares
XRO,Xero Limited Ordinary Shares
ZEL,Z Energy Limited Ordinary Shares
